,Australian Bureau of Statistics,,,,,,,,
,,,,,,,,,
,2021 Census - selected dwelling characteristics,,,,,,,,
,SAL (EN) by VEHRD Number of Motor Vehicles (ranges),,,,,,,,
,Counting: Dwelling Records,,,,,,,,
,,,,,,,,,
,Filters:,,,,,,,,
,Default Summation,Dwelling Records,,,,,,,
,,,,,,,,,
,VEHRD Number of Motor Vehicles (ranges),No motor vehicles,One motor vehicle,Two motor vehicles,Three motor vehicles,Four or more motor vehicles,Not stated,Not applicable,Total
State,SAL (EN),,,,,,,,
NSW,Banoon,0,0,3,6,0,0,5,17
NSW,Banora Point,356,2623,2419,724,367,267,389,7145
NSW,Banyabba,0,7,0,3,0,0,0,16
NSW,Bar Beach,61,162,195,62,35,36,108,657
NSW,Bar Point,17,26,12,0,0,17,64,134
NSW,Bara,0,4,4,0,0,0,0,15
NSW,Baradine,17,114,100,34,26,58,30,369
NSW,Barangaroo,34,61,8,0,0,21,111,239
NSW,Barcoongere,0,0,0,0,0,3,0,3
NSW,Barden Ridge,13,165,560,261,229,12,29,1262
NSW,Bardia,44,579,747,161,62,83,89,1769
NSW,Bardwell Park,49,301,275,96,58,22,52,865
NSW,Bardwell Valley,59,294,300,87,46,35,38,855
NSW,Barellan,12,67,60,23,32,14,42,241
NSW,Bargo,45,407,571,268,255,74,76,1684
NSW,Barham,54,248,243,91,47,51,190,918
NSW,Barigan,0,0,0,0,0,0,0,0
NSW,Barkers Vale,0,27,29,12,0,9,6,88
NSW,Barmedman,6,61,43,20,23,15,47,221
NSW,Barneys Reef,0,0,0,0,0,0,0,0
NSW,Barnsley,15,145,244,119,97,7,23,646
NSW,Barooga,25,256,306,108,54,50,112,906
NSW,Barraba,48,274,188,67,39,50,147,811
NSW,Barrack Heights,176,826,828,260,159,112,119,2483
NSW,Barrack Point,12,92,102,29,32,16,27,307
NSW,Barraganyatti,4,9,26,9,4,3,7,65
NSW,Barragga Bay,0,12,25,8,0,0,39,81
NSW,Barratta (NSW),0,0,0,0,4,0,0,9
NSW,Barren Grounds,0,0,0,0,0,0,0,0
NSW,Barrengarry,0,23,26,18,9,7,41,120
NSW,Barretts Creek,0,0,0,0,0,0,4,11
NSW,Barringella,0,0,3,0,4,0,5,16
NSW,Barrington (NSW),3,37,76,28,18,13,27,196
NSW,Barrington Tops,0,0,0,0,0,0,0,0
NSW,Barry (Blayney - NSW),0,19,13,15,14,7,8,70
NSW,Barry (Tamworth Regional - NSW),0,0,0,0,0,0,0,0
NSW,Barwang,0,11,16,12,7,6,10,61
NSW,Baryulgil,0,3,0,0,0,3,10,20
NSW,Basin View,15,199,243,96,55,38,102,744
NSW,Bass Hill,205,866,1019,398,246,276,210,3218
NSW,Bassendean (NSW),0,0,0,0,0,0,3,4
NSW,Batar Creek,0,0,17,5,4,9,9,44
NSW,Bateau Bay,363,1588,1822,564,306,235,331,5206
NSW,Batehaven,60,379,287,72,29,69,318,1216
NSW,Batemans Bay,117,447,177,31,22,71,289,1164
NSW,Bathampton,0,0,0,0,3,3,0,18
NSW,Bathurst,406,1723,843,200,83,232,546,4036
NSW,Batlow,20,177,181,74,55,45,65,623
NSW,Baulkham Hills,380,4309,5235,1478,815,304,648,13165
NSW,Baw Baw (NSW),0,7,37,28,23,4,11,108
NSW,Bawley Point,3,133,146,37,32,26,371,759
NSW,Baxters Ridge,0,0,0,0,0,0,0,0
NSW,Bayview (NSW),120,517,551,198,143,83,166,1778
NSW,Beacon Hill,83,573,1046,401,272,57,93,2532
NSW,Beaconsfield (NSW),60,258,108,25,13,13,60,548
NSW,Bean Creek,0,8,14,3,0,3,3,36
NSW,Bearbong,0,3,4,12,4,0,15,36
NSW,Beaumont (NSW),0,13,18,9,8,4,29,80
NSW,Beaumont Hills,26,549,1248,478,266,33,53,2654
NSW,Beckom,0,13,20,7,8,3,12,61
NSW,Bective,3,9,26,19,13,7,4,85
NSW,Bectric,0,4,7,3,4,0,10,26
NSW,Bedgerabong,0,14,14,10,8,5,7,58
NSW,Beechwood,5,73,139,59,29,9,18,336
NSW,Beecroft,121,1141,1447,440,214,90,163,3612
NSW,Beecroft Peninsula,0,0,0,0,0,0,0,0
NSW,Beelbangera,0,19,59,24,18,12,9,143
NSW,Beemunnel,0,0,5,0,0,0,0,15
NSW,Bega,177,785,692,237,83,142,196,2307
NSW,Beggan Beggan,0,4,18,8,13,0,12,54
NSW,Belanglo,0,0,0,0,3,0,7,17
NSW,Belbora,0,21,24,5,0,0,19,74
NSW,Belfield,219,769,796,235,137,119,136,2411
NSW,Belford,0,7,20,15,14,3,10,64
NSW,Belfrayden,0,5,0,0,0,0,0,11
NSW,Belgravia,0,6,14,10,10,7,3,50
NSW,Belimbla Park,0,28,48,32,58,4,9,183
NSW,Bell (NSW),0,10,5,0,3,5,4,26
NSW,Bella Vista,19,497,1122,479,293,59,187,2654
NSW,Bellambi,234,691,485,130,63,131,83,1819
NSW,Bellangry,0,11,21,7,3,6,0,55
NSW,Bellata,4,24,42,15,12,15,26,139
NSW,Bellawongarah,0,21,18,12,5,3,22,77
NSW,Bellbird,30,270,327,107,82,30,51,891
NSW,Bellbird Heights,6,88,127,46,28,10,24,330
NSW,Bellbrook,3,43,48,21,7,13,27,160
NSW,Bellevue Hill,397,1725,1386,360,170,173,472,4678
NSW,Bellimbopinni,0,12,11,8,9,3,3,43
NSW,Bellingen,53,639,560,166,68,98,110,1691
NSW,Bellmount Forest,0,8,13,11,11,5,3,51
NSW,Belltrees,0,6,5,0,0,0,12,24
NSW,Belmont (NSW),333,1178,1022,341,185,185,219,3461
NSW,Belmont North,107,687,940,330,225,65,103,2450
NSW,Belmont South,32,185,149,66,28,26,32,515
NSW,Belmore,677,2149,1267,379,212,470,468,5621
NSW,Belmore River,0,25,34,20,20,11,13,110
NSW,Beloka,0,0,0,0,6,0,0,6
NSW,Belowra,0,0,0,0,0,0,5,5
NSW,Belrose,110,884,1228,427,240,54,173,3120
NSW,Bemboka,4,78,103,24,31,19,55,311
NSW,Ben Bullen,0,8,7,12,3,0,12,43
NSW,Ben Lomond (NSW),0,13,28,14,7,5,19,77
NSW,Benandarah,4,26,21,6,8,10,9,91
NSW,Bendalong,0,26,25,9,8,0,110,177
NSW,Bendemeer,8,58,77,31,27,26,58,271
NSW,Bendick Murrell,0,12,20,14,8,5,12,80
NSW,Bendolba,3,30,35,11,9,4,8,100
NSW,Bendoura,0,9,21,9,3,4,21,63
NSW,Benerembah,0,9,9,8,3,17,0,48
NSW,Bengalla,0,4,0,0,0,0,0,3
NSW,Bennetts Green,0,0,0,0,0,0,0,4
NSW,Benolong,0,4,10,7,0,0,0,25
NSW,Bensville,14,193,378,165,90,11,31,883
NSW,Bentley (NSW),0,12,36,24,6,0,4,89
NSW,Berala,361,1079,827,276,143,180,233,3094
NSW,Berambing,0,5,14,11,13,3,7,43
NSW,Beresfield,92,542,449,145,89,52,81,1456
NSW,Bergalia,0,13,29,14,9,6,11,79
NSW,Berkeley,320,1020,921,362,205,200,129,3152
NSW,Berkeley Vale,121,966,1328,444,263,139,125,3385
NSW,Berkshire Park,4,65,70,72,91,21,20,345
NSW,Berlang,0,0,0,0,0,0,0,3
NSW,Bermagui,44,356,315,84,41,75,313,1217
NSW,Berowra,35,491,652,249,138,16,54,1634
NSW,Berowra Heights,40,515,779,276,161,20,71,1867
NSW,Berowra Waters,7,35,20,5,4,0,45,112
NSW,Berrambool,17,95,64,22,9,12,36,260
NSW,Berrara,0,61,53,20,12,19,216,379
NSW,Berremangra,0,4,14,13,5,3,12,48
NSW,Berrico,0,0,3,3,0,0,21,30
NSW,Berridale,14,179,194,82,62,41,143,709
NSW,Berrigal,0,4,3,0,0,4,0,12
NSW,Berrigan,28,189,175,76,41,44,113,661
NSW,Berrilee,0,12,17,15,23,0,10,79
NSW,Berrima,3,69,137,55,38,45,45,390
NSW,Berringer Lake,0,4,3,0,0,3,11,30
NSW,Berry,44,464,493,153,90,62,136,1434
NSW,Berry Jerry,0,7,13,5,5,0,3,40
NSW,Berry Mountain,0,5,8,4,0,0,3,26
NSW,Berry Park,0,26,25,10,7,0,3,82
NSW,Berthong,0,4,7,4,4,0,9,30
NSW,Beryl,0,7,20,6,5,4,3,46
NSW,Bethungra,7,17,20,17,4,3,16,79
NSW,Bevendale,0,10,10,0,3,9,7,30
NSW,Beverley Park,57,285,326,101,70,34,84,955
NSW,Beverly Hills,360,1390,1179,377,209,152,218,3879
NSW,Bewong,0,8,11,6,5,0,5,39
NSW,Bexhill,0,44,75,38,13,21,23,216
NSW,Bexley,545,2505,2165,679,370,302,489,7052
NSW,Bexley North,200,590,465,143,83,76,103,1656
NSW,Biala,0,4,12,3,6,5,6,30
NSW,Bibbenluke,0,10,15,10,3,3,17,52
NSW,Biddon,0,10,13,14,3,10,9,55
NSW,Bidgeemia,0,0,6,0,3,0,0,13
NSW,Bidwill (NSW),242,580,280,95,42,208,72,1514
NSW,Bielsdown Hills,0,11,19,5,0,4,9,54
NSW,Big Hill (NSW),0,6,8,6,3,14,36,68
NSW,Big Jacks Creek,0,0,7,8,7,0,3,28
NSW,Big Ridge,0,0,8,0,0,0,0,7
NSW,Big Springs,0,6,16,17,10,3,7,54
NSW,Bigga,3,34,37,25,8,8,87,208
NSW,Bilambil,0,46,44,27,27,13,6,167
NSW,Bilambil Heights,27,388,524,213,93,76,63,1389
NSW,Bilbul,0,41,78,40,28,24,15,233
NSW,Bilgola Beach,0,20,54,9,12,4,28,127
NSW,Bilgola Plateau,14,268,618,218,105,21,46,1293
NSW,Billeroy,0,0,3,0,3,0,0,6
NSW,Billilingra,0,0,0,0,0,0,0,6
NSW,Billimari,0,11,21,3,3,7,21,75
NSW,Billinudgel,0,26,33,10,8,18,14,109
NSW,Billys Creek,0,13,8,4,5,4,22,61
NSW,Billywillinga,0,24,21,18,10,0,12,84
NSW,Bilpin,0,41,107,46,33,15,40,293
NSW,Bimberi,0,0,0,0,0,0,0,0
NSW,Bimbi,0,3,7,7,10,4,5,35
NSW,Bimbimbie,0,11,16,7,7,0,3,44
NSW,Binalong,4,78,76,30,32,20,54,288
NSW,Binda,4,24,53,20,18,11,40,167
NSW,Bindera,0,4,8,3,0,4,10,31
NSW,Bingara,34,249,207,71,35,40,120,757
NSW,Bingeebeebra Creek,0,4,11,0,0,0,0,19
NSW,Bingie,0,22,47,17,7,12,23,122
NSW,Bingleburra,0,0,8,0,0,0,7,16
NSW,Biniguy,0,21,16,8,8,7,4,63
NSW,Binjura,7,30,45,25,12,15,15,146
NSW,Binna Burra (NSW),0,12,22,15,10,9,10,83
NSW,Binnaway,16,95,105,37,25,40,85,399
NSW,Binya,0,5,18,6,5,0,6,45
NSW,Birchgrove,119,658,420,76,18,42,175,1500
NSW,Birdwood (NSW),0,4,5,8,3,0,3,19
NSW,Birganbigil,0,5,7,10,0,0,0,22
