State,Suburb,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
VIC,Tanybryn,0,0,3,0,5,0,0,0,0,5,0,16
VIC,Taradale (Vic.),11,17,56,39,63,97,0,26,12,55,73,448
VIC,Tarcombe,0,0,0,6,7,8,0,0,0,4,0,39
VIC,Tarilta,0,0,0,4,3,4,0,0,0,10,0,23
VIC,Tarnagulla,4,3,3,11,22,40,0,24,5,20,10,136
VIC,Tarneit,2357,366,4323,2677,3216,7359,19,1408,789,1879,10157,34561
VIC,Tarnook,8,0,4,10,20,15,0,3,4,14,12,84
VIC,Taroon,0,0,0,0,11,3,0,0,0,7,0,23
VIC,Tarra Valley,3,0,9,8,15,22,0,4,4,5,11,77
VIC,Tarranyurk,0,0,5,8,4,8,0,6,0,4,6,25
VIC,Tarraville,0,0,0,4,12,24,0,11,0,9,5,81
VIC,Tarrawarra,9,0,13,5,11,16,0,4,0,4,12,71
VIC,Tarrawingee,3,11,33,40,63,68,0,18,5,43,86,368
VIC,Tarrayoukyan,4,0,0,0,4,9,0,0,5,0,0,22
VIC,Tarrengower,9,4,4,3,11,13,0,9,6,0,13,67
VIC,Tarrenlea,0,0,6,4,5,6,0,4,4,10,4,37
VIC,Tarrington,5,13,40,22,46,68,0,20,8,14,70,299
VIC,Tarrone,0,0,5,7,9,21,0,5,3,3,11,69
VIC,Tarwin,0,0,3,5,5,24,0,5,0,0,15,57
VIC,Tarwin Lower,8,12,34,33,64,98,0,22,9,20,56,358
VIC,Tatong,5,7,28,28,54,63,0,14,8,27,52,291
VIC,Tatura,70,62,330,315,648,1152,4,537,107,563,880,4669
VIC,Tatura East,0,0,9,6,12,31,0,17,8,22,28,147
VIC,Tatyoon,3,0,14,13,12,23,0,5,0,18,36,132
VIC,Tawonga,17,18,62,48,96,143,0,36,12,53,87,575
VIC,Tawonga South,29,26,146,99,139,144,0,43,20,90,131,862
VIC,Taylor Bay,0,0,8,3,3,7,0,4,0,10,4,40
